품종,방류물량1,방류구분,연도,월
감성돔,337703,매입방류,2023,06
은어,108620,매입방류,2023,03
문치가자미,50000,무상방류,2023,07
문치가자미,50000,무상방류,2023,07
강도다리,46209,매입방류,2023,07
강도다리,46846,매입방류,2023,07
은어,20000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,30000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,40000,생산방류,2023,03
은어,50000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,10000,생산방류,2023,03
참조기,218949,매입방류,2023,06
참조기,1650000,매입방류,2023,06
참조기,950000,매입방류,2023,06
넙치,140846,매입방류,2023,07
넙치,140845,매입방류,2023,07
돌돔,73318,매입방류,2023,01
참돔,203583,매입방류,2023,06
돌돔,129691,매입방류,2023,01
점농어,75656,매입방류,2023,01
감성돔,143135,매입방류,2023,01
점농어,77572,매입방류,2023,01
감성돔,161614,매입방류,2023,01
감성돔,136345,매입방류,2023,01
꺽지,4200,시험방류,2023,01
참돔,48781,매입방류,2023,06
참돔,48780,매입방류,2023,06
감성돔,48781,매입방류,2023,06
감성돔,48780,매입방류,2023,06
볼락,73015,매입방류,2023,06
볼락,73015,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,01
점농어,100000,생산방류,2023,01
은어,136364,매입방류,2023,05
쥐노래미,48000,무상방류,2023,01
쥐노래미,46000,무상방류,2023,05
은어,45455,매입방류,2023,04
은어,10000,무상방류,2023,03
연어,900000,생산방류,2023,01
꼼치,1000000,무상방류,2023,01
대구,5000000,생산방류,2023,02
은어,121362,매입방류,2023,01
연어,700000,생산방류,2023,03
연어,300000,생산방류,2023,03
꼼치,30050000,생산방류,2023,01
기타,0,방류x,2022,1
기타,0,방류x,2022,2
기타,0,방류x,2022,3
기타,0,방류x,2022,4
기타,0,방류x,2022,5
기타,0,방류x,2022,6
기타,0,방류x,2022,7
기타,0,방류x,2022,8
기타,0,방류x,2022,9
기타,0,방류x,2022,10
기타,0,방류x,2022,11
기타,0,방류x,2022,12
기타,0,방류x,2023,1
기타,0,방류x,2023,2
기타,0,방류x,2023,3
기타,0,방류x,2023,4
기타,0,방류x,2023,5
기타,0,방류x,2023,6
기타,0,방류x,2023,7
기타,0,방류x,2023,8
기타,0,방류x,2023,9
기타,0,방류x,2023,10
기타,0,방류x,2023,11
기타,0,방류x,2023,12
